Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified,Latitude,Longitude
/Attraction_Review-g303631-d6109021-Reviews-Cemiterio_Do_Araca-Sao_Paulo_State_of_Sao_Paulo.html,Cemiterio Do Araca,Pontos de interesse,"Avenida Doutor Arnaldo 666 | Pacaembu, São Paulo, Estado de São Paulo 01255-000, Brasil",,,35.0,"3,5",17%,34%,39%,5%,5%,False,-23.54848,-46.68083
/Attraction_Review-g303631-d10426338-Reviews-Chacara_do_Jockey_Municipal_Park-Sao_Paulo_State_of_Sao_Paulo.html,Parque Municipal Chácara do Jockey,Parques,"Avenida Pirajussara, 4748 | Butantã, São Paulo, Estado de São Paulo 05534-000, Brasil",,,34.0,"4,0",14%,55%,29%,2%,0%,False,-23.59141,-46.74108
/Attraction_Review-g303631-d19454612-Reviews-Exposicao_de_Leonardo_Da_Vinci-Sao_Paulo_State_of_Sao_Paulo.html,Exposição de Leonardo da Vinci,Museus especializados,"Rua Vladimir Herzog 75 | Mis Experience - Água Branca, São Paulo, Estado de São Paulo 05036-025, Brasil",Ter - Dom,10:00 - 20:00,15.0,"4,5",88%,6%,0%,0%,6%,False,0.0,0.0
/Attraction_Review-g303631-d12802196-Reviews-Shopping_Porto_Geral-Sao_Paulo_State_of_Sao_Paulo.html,Shopping Porto Geral,Shopping centers,"Ladeira Porto Geral 14, São Paulo, Estado de São Paulo 01022-000, Brasil",,,6.0,"4,0",16%,84%,0%,0%,0%,False,-23.54509,-46.63349
/Attraction_Review-g303631-d15780292-Reviews-Escadaria_das_Bailarinas-Sao_Paulo_State_of_Sao_Paulo.html,Escadaria das Bailarinas,Pontos de interesse,"Rua Alves Guimaraes 753, São Paulo, Estado de São Paulo 05410-001, Brasil",,,8.0,"4,5",63%,0%,37%,0%,0%,False,-23.556,-46.67796
/Attraction_Review-g303631-d4377521-Reviews-Xingu_Museum-Sao_Paulo_State_of_Sao_Paulo.html,Museu Xingu,Museus especializados,"Rua Jose Maria Lisboa 838 | Jardins, São Paulo, Estado de São Paulo 01423-002, Brasil",Seg - Sex,10:00 - 16:00,22.0,"4,5",60%,36%,0%,4%,0%,False,-23.5667,-46.65941
/Attraction_Review-g303631-d4003937-Reviews-Museum_of_the_Civil_Police-Sao_Paulo_State_of_Sao_Paulo.html,Museu da Polícia Civil,Museus especializados,"Praça Prof. Reinaldo Porchat, 219 | Cidade Universitária - Butantã, São Paulo, Estado de São Paulo 04012-190, Brasil",,,31.0,"4,0",22%,50%,25%,3%,0%,False,0.0,0.0
/Attraction_Review-g303631-d10063846-Reviews-Passagem_Literaria_da_Consolacao-Sao_Paulo_State_of_Sao_Paulo.html,Passagem Literária da Consolação,Galerias de arte,"Consolação | esquina com a Avenida Paulista, São Paulo, Estado de São Paulo 01301-100, Brasil",,,17.0,"4,0",23%,49%,23%,0%,5%,False,-23.55231,-46.65239
/Attraction_Review-g303631-d10000969-Reviews-Parque_Cientec-Sao_Paulo_State_of_Sao_Paulo.html,Parque Cientec,Parques,"Av. Miguel Stéfano, 4200 | Água Funda, São Paulo, Estado de São Paulo 04301-904, Brasil",,,9.0,"4,0",22%,56%,22%,0%,0%,False,-23.6507,-46.62097
/Attraction_Review-g303631-d3227183-Reviews-Instituto_Lina_Bo_e_P_M_Bardi-Sao_Paulo_State_of_Sao_Paulo.html,Instituto Lina Bo e P. M. Bardi,Locais educativos,"Rua General Almerio de Moura 200, São Paulo, Estado de São Paulo 05690-080, Brasil",,,34.0,"4,5",66%,32%,0%,0%,2%,False,-23.61334,-46.71196
/Attraction_Review-g303631-d4377508-Reviews-Museum_of_the_Holy_House_of_Mercy-Sao_Paulo_State_of_Sao_Paulo.html,Museu da Santa Casa da Misericórdia,Museus especializados,"Rua Doutor Cesario Mota Junior 112 | Vila Buarque, São Paulo, Estado de São Paulo 01221-900, Brasil",,,15.0,"4,5",33%,61%,6%,0%,0%,False,-23.54465,-46.64897
/Attraction_Review-g303631-d4126697-Reviews-Folha_Theater-Sao_Paulo_State_of_Sao_Paulo.html,Teatro da Folha,Teatros,"Avenida Higienopolis 618, São Paulo, Estado de São Paulo 01238-000, Brasil",,,132.0,"4,0",19%,55%,24%,1%,1%,False,-23.54248,-46.6587
